time_tag,xrsb_flux,xrsa_flux
2026-01-18 04:56:00,1.42087E-06,4.61183E-08
2026-01-18 04:57:00,1.40344E-06,4.77428E-08
2026-01-18 04:58:00,1.38993E-06,4.80126E-08
2026-01-18 04:59:00,1.37152E-06,4.56402E-08
2026-01-18 05:00:00,1.35236E-06,4.53395E-08
2026-01-18 05:01:00,1.34727E-06,4.39776E-08
2026-01-18 05:02:00,1.34156E-06,4.62962E-08
2026-01-18 05:03:00,1.32996E-06,4.53673E-08
2026-01-18 05:04:00,1.32134E-06,4.66012E-08
2026-01-18 05:05:00,1.31886E-06,4.61758E-08
2026-01-18 05:06:00,1.32127E-06,4.31839E-08
2026-01-18 05:07:00,1.32976E-06,4.50797E-08
2026-01-18 05:08:00,1.33985E-06,4.76431E-08
2026-01-18 05:09:00,1.35035E-06,4.63205E-08
2026-01-18 05:10:00,1.35409E-06,4.71005E-08
2026-01-18 05:11:00,1.35955E-06,4.8621E-08
2026-01-18 05:12:00,1.37621E-06,4.8545E-08
2026-01-18 05:13:00,1.36756E-06,4.86877E-08
2026-01-18 05:14:00,1.36144E-06,4.70603E-08
2026-01-18 05:15:00,1.35356E-06,4.66927E-08
2026-01-18 05:16:00,1.34753E-06,4.4705E-08
2026-01-18 05:17:00,1.34519E-06,4.54339E-08
2026-01-18 05:18:00,1.37013E-06,4.65825E-08
2026-01-18 05:19:00,1.39461E-06,4.74375E-08
2026-01-18 05:20:00,1.43782E-06,5.09887E-08
2026-01-18 05:21:00,1.45992E-06,5.19197E-08
2026-01-18 05:22:00,1.44132E-06,4.86803E-08
2026-01-18 05:23:00,1.42184E-06,4.8478E-08
2026-01-18 05:24:00,1.39251E-06,4.5234E-08
2026-01-18 05:25:00,1.38155E-06,4.50053E-08
2026-01-18 05:26:00,1.37294E-06,4.20008E-08
2026-01-18 05:27:00,1.37236E-06,4.33268E-08
2026-01-18 05:28:00,1.38185E-06,4.66032E-08
2026-01-18 05:29:00,1.4011E-06,4.62346E-08
2026-01-18 05:30:00,1.41135E-06,4.62619E-08
2026-01-18 05:31:00,1.44441E-06,5.13191E-08
2026-01-18 05:32:00,1.41738E-06,4.9982E-08
2026-01-18 05:33:00,1.39592E-06,4.90292E-08
2026-01-18 05:34:00,1.37849E-06,4.68563E-08
2026-01-18 05:35:00,1.36783E-06,4.76697E-08
2026-01-18 05:36:00,1.3651E-06,4.62914E-08
2026-01-18 05:37:00,1.37205E-06,4.69478E-08
2026-01-18 05:38:00,1.3867E-06,4.7842E-08
2026-01-18 05:39:00,1.39734E-06,5.17887E-08
2026-01-18 05:40:00,1.41321E-06,5.27794E-08
2026-01-18 05:41:00,1.44925E-06,5.58761E-08
2026-01-18 05:42:00,1.45574E-06,5.23285E-08
2026-01-18 05:43:00,1.4461E-06,4.85589E-08
2026-01-18 05:44:00,1.42556E-06,4.8361E-08
2026-01-18 05:45:00,1.40276E-06,4.58019E-08
2026-01-18 05:46:00,1.38029E-06,4.5322E-08
2026-01-18 05:47:00,1.35648E-06,4.63148E-08
2026-01-18 05:48:00,1.32845E-06,4.40083E-08
2026-01-18 05:49:00,1.30853E-06,3.69038E-08
2026-01-18 05:50:00,1.28909E-06,3.64822E-08
2026-01-18 05:51:00,1.27362E-06,3.67746E-08
2026-01-18 05:52:00,1.26129E-06,3.51349E-08
2026-01-18 05:53:00,1.25902E-06,3.49454E-08
2026-01-18 05:54:00,1.24621E-06,3.19704E-08
2026-01-18 05:55:00,1.23094E-06,2.99502E-08
2026-01-18 05:56:00,1.21927E-06,3.2801E-08
2026-01-18 05:57:00,1.20898E-06,2.90642E-08
2026-01-18 05:58:00,1.20587E-06,3.08603E-08
2026-01-18 05:59:00,1.19442E-06,3.18747E-08
2026-01-18 06:00:00,1.18931E-06,3.0044E-08
2026-01-18 06:01:00,1.19167E-06,2.5221E-08
2026-01-18 06:02:00,1.19574E-06,2.51535E-08
2026-01-18 06:03:00,1.20112E-06,2.57929E-08
2026-01-18 06:04:00,1.22211E-06,2.3845E-08
2026-01-18 06:05:00,1.25767E-06,2.75445E-08
2026-01-18 06:06:00,1.31468E-06,4.30429E-08
2026-01-18 06:07:00,1.45644E-06,6.59342E-08
2026-01-18 06:08:00,1.74595E-06,9.67115E-08
2026-01-18 06:09:00,2.22611E-06,1.60322E-07
2026-01-18 06:10:00,2.96194E-06,2.56382E-07
2026-01-18 06:11:00,3.81109E-06,3.71395E-07
2026-01-18 06:12:00,4.74278E-06,4.90011E-07
2026-01-18 06:13:00,5.53238E-06,5.77938E-07
2026-01-18 06:14:00,5.99069E-06,5.97807E-07
2026-01-18 06:15:00,6.26491E-06,5.86616E-07
2026-01-18 06:16:00,6.6151E-06,5.98043E-07
2026-01-18 06:17:00,6.776E-06,5.95517E-07
2026-01-18 06:18:00,6.93487E-06,5.97113E-07
2026-01-18 06:19:00,7.07735E-06,6.04766E-07
2026-01-18 06:20:00,7.15918E-06,5.937E-07
2026-01-18 06:21:00,7.13036E-06,5.60569E-07
2026-01-18 06:22:00,7.01353E-06,5.20631E-07
2026-01-18 06:23:00,6.7555E-06,4.69742E-07
2026-01-18 06:24:00,6.43502E-06,4.16403E-07
2026-01-18 06:25:00,6.06273E-06,3.74267E-07
2026-01-18 06:26:00,5.71047E-06,3.38723E-07
2026-01-18 06:27:00,5.3657E-06,3.11609E-07
